TestCaseName,Market,Parameters
BTC_All_Params,BTC-USD,"close_increasing_1, close_increasing_0, crossover_1, crossover_0, Momentum_Increasing_0, MACD_Increasing_1, MACD_Increasing_0, volatility_label_bullish, volatility_label_bearish, RSI_bullish, RSI_bearish, ROC_bullish, ROC_bearish, sen_compound_increasing_1,sen_compound_increasing_0,  sen_positive_increasing_1, sen_positive_increasing_0 sen_negative_increasing_1, sen_negative_increasing_0"
BTC_TargetProfitable_High_Lift,BTC-USD,"sen_compound_increasing_1, sen_negative_increasing_1, MACD_Increasing_0, volatility_label_bullish"
BTC_TargetProfitable_Low_Lift,BTC-USD,"volatility_label_bearish, Momentum_Increasing_0, close_increasing_1, sen_negative_increasing_1, ROC_bullish"
BTC_CloseIncreasing_High_Lift,BTC-USD,"Momentum_Increasing_0, ROC_bullish"
BTC_CloseIncreasing_Low_Lift,BTC-USD,"sen_positive_increasing_1, MACD_Increasing_0, volatility_label_bearish, Momentum_Increasing_0"
BTC_TargetProfitable_Zero_Lift,BTC-USD,"sen_compound_increasing_1, sen_positive_increasing_1, sen_negative_increasing_0, crossover_0, Momentum_Increasing_0"
BTC_CloseIncreasing_Zero_Lift,BTC-USD,"crossover_0, Momentum_Increasing_0"
BTC_Sentiment_Only,BTC-USD,"sen_positive_increasing_1, sen_positive_increasing_0, sen_negative_increasing_1, sen_negative_increasing_0"
BTC_Technical_Only,BTC-USD,"crossover_1, crossover_0, MACD_Increasing_1, MACD_Increasing_0, RSI_bullish, RSI_bearish, ROC_bullish, ROC_bearish"
AZMN_All_Params,AMZN,"close_increasing_1, close_increasing_0, crossover_1, crossover_0, Momentum_Increasing_0, MACD_Increasing_1, MACD_Increasing_0, volatility_label_bullish, volatility_label_bearish, RSI_bullish, RSI_bearish, ROC_bullish, ROC_bearish, sen_compound_increasing_1,sen_compound_increasing_0,  sen_positive_increasing_1, sen_positive_increasing_0 sen_negative_increasing_1, sen_negative_increasing_0"
AMZN_TargetProfitable_High_Lift,AMZN,"volatility_label_bullish, sen_negative_increasing_0, MACD_Increasing_0, close_increasing_1"
AMZN_TargetProfitable_Low_Lift,AMZN,"Momentum_Increasing_0, sen_compound_increasing_1, crossover_0, RSI_bearish, MACD_Increasing_1"
AMZN_CloseIncreasing_High_Lift,AMZN,"Momentum_Increasing_0, ROC_bullish"
AMZN_CloseIncreasing_Low_Lift,AMZN,"MACD_Increasing_0, Momentum_Increasing_0, volatility_label_bearish, sen_negative_increasing_0"
AMZN_TargetProfitable_Zero_Lift,AMZN,"close_increasing_0, sen_positive_increasing_0, volatility_label_bearish"
AMZN_CloseIncreasing_Zero_Lift,AMZN,"Momentum_Increasing_0, sen_compound_increasing_0, crossover_0, sen_positive_increasing_0"
AMZN_Sentiment_Only,AMZN,"sen_positive_increasing_1, sen_positive_increasing_0, sen_negative_increasing_1, sen_negative_increasing_0"
AMZN_Technical_Only,AMZN,"crossover_1, crossover_0, MACD_Increasing_1, MACD_Increasing_0, RSI_bullish, RSI_bearish, ROC_bullish, ROC_bearish"
MSFT_All_Params,MSFT,"close_increasing_1, close_increasing_0, crossover_1, crossover_0, Momentum_Increasing_0, MACD_Increasing_1, MACD_Increasing_0, volatility_label_bullish, volatility_label_bearish, RSI_bullish, RSI_bearish, ROC_bullish, ROC_bearish, sen_compound_increasing_1,sen_compound_increasing_0,  sen_positive_increasing_1, sen_positive_increasing_0 sen_negative_increasing_1, sen_negative_increasing_0"
MSFT_TargetProfitable_High_Lift,MSFT,"volatility_label_bearish, MACD_Increasing_0, sen_compound_increasing_0, close_increasing_1"
MSFT_TargetProfitable_Low_Lift,MSFT,"crossover_1, Momentum_Increasing_0, volatility_label_bullish, sen_negative_increasing_0, RSI_bearish, MACD_Increasing_1"
MSFT_CloseIncreasing_High_Lift,MSFT,"ROC_bullish, Momentum_Increasing_0"
MSFT_CloseIncreasing_Low_Lift,MSFT,"crossover_1, Momentum_Increasing_0, sen_compound_increasing_0, MACD_Increasing_0, volatility_label_bearish"
MSFT_TargetProfitable_Zero_Lift,MSFT,"sen_negative_increasing_1, Momentum_Increasing_0, sen_compound_increasing_0, MACD_Increasing_1"
MSFT_CloseIncreasing_Zero_Lift,MSFT,"volatility_label_bullish, crossover_1, Momentum_Increasing_0, RSI_bearish"
MSFT_Sentiment_Only,MSFT,"sen_positive_increasing_1, sen_positive_increasing_0, sen_negative_increasing_1, sen_negative_increasing_0"
MSFT_Technical_Only,MSFT,"crossover_1, crossover_0, MACD_Increasing_1, MACD_Increasing_0, RSI_bullish, RSI_bearish, ROC_bullish, ROC_bearish"
